# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
3.029099999999999848e-02 1.554879132299999947e+04 7.904000000000000000e+03
3.303899999999999892e-02 1.177680910899999981e+04 1.001000000000000000e+04
3.604399999999999965e-02 1.291128524400000060e+04 1.330400000000000000e+04
3.934399999999999703e-02 1.528111283700000058e+04 1.714600000000000000e+04
4.294100000000000000e-02 1.335249839799999972e+04 2.246000000000000000e+04
4.681300000000000044e-02 1.339683373399999982e+04 2.821400000000000000e+04
5.104600000000000110e-02 1.433112912300000062e+04 3.770800000000000000e+04
5.570599999999999857e-02 9.572382767999999487e+03 4.855000000000000000e+04
6.074600000000000138e-02 9.362935256999999183e+03 6.253600000000000000e+04
6.625000000000000333e-02 9.181976665000000139e+03 8.174200000000000000e+04
7.227799999999999503e-02 9.462529119000000719e+03 1.062640000000000000e+05
7.883800000000000530e-02 7.209875887000000148e+03 1.371780000000000000e+05
8.599999999999999312e-02 6.138917410000000018e+03 1.791340000000000000e+05
9.381000000000000449e-02 6.757311732000000120e+03 2.311740000000000000e+05
1.023109999999999992e-01 5.256553460000000086e+03 3.002780000000000000e+05
1.116059999999999969e-01 4.227892112999999881e+03 3.909780000000000000e+05
1.217430000000000040e-01 4.130873991000000387e+03 5.060720000000000000e+05
1.327959999999999974e-01 3.326200785999999880e+03 6.578360000000000000e+05
1.448589999999999878e-01 2.792442755000000034e+03 8.534680000000000000e+05
1.580110000000000126e-01 2.308330358000000160e+03 1.107340000000000000e+06
1.723550000000000082e-01 2.041552691000000095e+03 1.436940000000000000e+06
1.880010000000000014e-01 1.718290434999999889e+03 1.864956000000000000e+06
2.050720000000000043e-01 1.326539277000000084e+03 2.421576000000000000e+06
2.236910000000000009e-01 1.041991487999999890e+03 3.141224000000000000e+06
2.439969999999999917e-01 8.358832390000000032e+02 4.077262000000000000e+06
2.661479999999999957e-01 5.079652080000000183e+02 5.291842000000000000e+06
2.903129999999999877e-01 2.656906159999999772e+02 6.868784000000000000e+06
3.166660000000000030e-01 2.094220129999999926e+02 8.910236000000000000e+06
3.454110000000000236e-01 -2.129107899999999987e+01 1.156777000000000000e+07
3.767719999999999958e-01 -1.002678099999999972e+02 1.501447200000000000e+07
1.570999999999999914e-03 7.309569281900000351e+04 6.000000000000000000e+00
2.220999999999999884e-03 5.239908433399999922e+04 1.200000000000000000e+01
2.720999999999999894e-03 -1.614347616250000137e+05 8.000000000000000000e+00
3.141999999999999828e-03 -5.664853086199999962e+04 6.000000000000000000e+00
3.511999999999999931e-03 6.377502518899999995e+04 2.400000000000000000e+01
3.847999999999999858e-03 -1.821301118119999883e+05 2.400000000000000000e+01
4.442999999999999901e-03 1.589680088209999958e+05 1.200000000000000000e+01
4.826000000000000428e-03 -1.068368099299999994e+04 5.400000000000000000e+01
