# #kvec,       P0,       P2
2.375276482184167648e-01 3.687570244323011593e+03 9.761792639182798439e+02
2.424990955345757149e-01 3.567596245050985090e+03 8.964034391832701658e+02
2.474998477592641188e-01 3.453705852797944772e+03 8.164620783793793635e+02
2.525200231637342307e-01 3.343724757973335727e+03 7.379171544388486836e+02
2.575182183021308968e-01 3.235834629437649710e+03 6.621977834408286299e+02
2.625255611121785071e-01 3.129592743545878420e+03 5.898957940262532702e+02
2.675305453620264728e-01 3.025245680131200061e+03 5.211630855782068465e+02
2.725404518957729172e-01 2.923169197440132848e+03 4.558201416081761863e+02
2.775333128253933412e-01 2.824071653011142644e+03 3.928311417859688390e+02
2.825123834702271131e-01 2.728719675770121739e+03 3.309720995675743325e+02
2.875104583320110541e-01 2.637492088710589542e+03 2.692179902099657056e+02
2.924971256070411085e-01 2.550089096063417855e+03 2.068567670535459229e+02
2.975058753683166302e-01 2.466100979105580336e+03 1.432670384792417906e+02
3.025121290118005790e-01 2.385102994572935131e+03 7.823761351664896324e+01
3.075010305668673949e-01 2.306622012937000363e+03 1.236182329800840840e+01
3.125134098098725222e-01 2.230211160359789119e+03 -5.358493697173736336e+01
3.175159610161296664e-01 2.155500174113920366e+03 -1.189940602862031227e+02
3.225221298316593987e-01 2.082234522706899952e+03 -1.838063193941771090e+02
3.275181648077025165e-01 2.010186033310581934e+03 -2.481461089225434478e+02
3.325123749530838890e-01 1.939152612775507805e+03 -3.121476145164365334e+02
3.374959275080861021e-01 1.869147952416374210e+03 -3.759753150522376473e+02
3.424919127583013756e-01 1.800336982584451789e+03 -4.397911335278951697e+02
3.475179694433840893e-01 1.732884854261481451e+03 -5.037183106786927738e+02
3.525059921296319621e-01 1.666892773945648514e+03 -5.678235218976360557e+02
3.575140093809558994e-01 1.602331503488807812e+03 -6.321101092699575474e+02
3.625250121899730726e-01 1.539146684497697606e+03 -6.965579180952299794e+02
3.675230343842288971e-01 1.477287374600856765e+03 -7.611346337208177601e+02
3.725176954699483400e-01 1.416654617763820170e+03 -8.258239665334090205e+02
3.775162922269590382e-01 1.357087330593941942e+03 -8.906406504136699596e+02
3.825226775013818026e-01 1.298422287117944052e+03 -9.556041441509532888e+02
3.875129949299156440e-01 1.240507257441840466e+03 -1.020737117770295868e+03
3.924957752247316689e-01 1.183243747167536867e+03 -1.086084578591712216e+03
3.975064587042261843e-01 1.126585855934113624e+03 -1.151708141249107484e+03
4.025281591738766318e-01 1.070494701909387459e+03 -1.217661058790246443e+03
4.075225831108515440e-01 1.014933874716261244e+03 -1.283985125785851551e+03
4.125228099574981266e-01 9.598717807770924537e+02 -1.350708659940741200e+03
4.175153165358944651e-01 9.052832839386873047e+02 -1.417847782237733099e+03
4.225112269532309561e-01 8.511472346795485464e+02 -1.485409956749935191e+03
4.275193341825957449e-01 7.974457978184118474e+02 -1.553393707244012148e+03
4.325204712563468501e-01 7.441644551276604034e+02 -1.621784406790332241e+03
4.375072259220963988e-01 6.912921897057253773e+02 -1.690547751427149251e+03
4.424932815306526490e-01 6.388209804095008622e+02 -1.759638871325544642e+03
4.475081036444470417e-01 5.867458745806541174e+02 -1.829006074784185330e+03
4.525091505980503581e-01 5.350639636080798027e+02 -1.898594572992969688e+03
4.575059382916647488e-01 4.837566185863747137e+02 -1.968398273855095567e+03
4.625073094670774654e-01 4.327841482489512828e+02 -2.038472225968315797e+03
4.675075876475686121e-01 3.821048377821542772e+02 -2.108874943713817629e+03
4.725094673409236390e-01 3.316775444143602272e+02 -2.179660963634529708e+03
4.775010455491682237e-01 2.814618308698047713e+02 -2.250880747222278842e+03
4.825040702186400021e-01 2.314180930350295284e+02 -2.322580585029371832e+03
4.875082594715782203e-01 1.815076821861430290e+02 -2.394802500829924611e+03
4.925128965755101174e-01 1.316930221056011305e+02 -2.467584154749196387e+03
4.975154922627240128e-01 8.193772139909795271e+01 -2.540958744455357191e+03
