# kvec, P0, P2
2.474998477592641188e-01 3.462612977264948768e+03 8.383559364528993001e+02
2.525200231637342307e-01 3.356930353028564241e+03 7.688316445048116066e+02
2.575182183021308968e-01 3.253965168721265400e+03 7.030585161114706807e+02
2.625255611121785071e-01 3.152892466066175075e+03 6.416689985424804945e+02
2.675305453620264728e-01 3.053564613887936048e+03 5.846225664542140521e+02
2.725404518957729172e-01 2.956449079332120164e+03 5.312334529108554761e+02
2.775333128253933412e-01 2.862192773537626181e+03 4.805415808767149883e+02
2.825123834702271131e-01 2.771541265942209975e+03 4.313943433191079748e+02
2.875104583320110541e-01 2.684954333017104545e+03 3.828989471032768961e+02
2.924971256070411085e-01 2.602574261237207793e+03 3.344699369473620436e+02
2.975058753683166302e-01 2.524263893247085434e+03 2.858841366432186533e+02
3.025121290118005790e-01 2.449628851184292216e+03 2.372671784840240434e+02
3.075010305668673949e-01 2.378191035474977070e+03 1.889224205198891013e+02
3.125134098098725222e-01 2.309419889423636050e+03 1.412922035098977176e+02
3.175159610161296664e-01 2.242875905783737835e+03 9.474084875179914889e+01
3.225221298316593987e-01 2.178225774398065369e+03 4.952876185551235722e+01
3.275181648077025165e-01 2.115260350065258990e+03 5.757875687271962306e+00
3.325123749530838890e-01 2.053891542428513731e+03 -3.662827946333823093e+01
3.374959275080861021e-01 1.994109170042697997e+03 -7.779814364600599674e+01
3.424919127583013756e-01 1.935968450858328197e+03 -1.180146230132618257e+02
3.475179694433840893e-01 1.879508784093798567e+03 -1.575078882395494020e+02
3.525059921296319621e-01 1.824744376197182191e+03 -1.964630169732836293e+02
3.575140093809558994e-01 1.771647892241117233e+03 -2.350176820540712015e+02
3.625250121899730726e-01 1.720150706269336752e+03 -2.732590126973861970e+02
3.675230343842288971e-01 1.670159644841559839e+03 -3.111917480930590045e+02
3.725176954699483400e-01 1.621561044249676797e+03 -3.487438570139527201e+02
3.775162922269590382e-01 1.574244518084405172e+03 -3.858514824572496309e+02
3.825226775013818026e-01 1.528106444874296130e+03 -4.224673919519556193e+02
3.875129949299156440e-01 1.483062241604535757e+03 -4.585637935845214770e+02
3.924957752247316689e-01 1.439046940979657847e+03 -4.941332827462026671e+02
3.975064587042261843e-01 1.396009781522363937e+03 -5.291965290467139766e+02
4.025281591738766318e-01 1.353913133942797231e+03 -5.638006470376604966e+02
4.075225831108515440e-01 1.312727469653079424e+03 -5.979961639362187498e+02
4.125228099574981266e-01 1.272429798171634047e+03 -6.318340139011165775e+02
4.175153165358944651e-01 1.232993022247789668e+03 -6.653577406285523921e+02
4.225112269532309561e-01 1.194385067956895000e+03 -6.986022444415347081e+02
4.275193341825957449e-01 1.156570353352069787e+03 -7.315884122012353146e+02
4.325204712563468501e-01 1.119510565532653345e+03 -7.643239103660628189e+02
4.375072259220963988e-01 1.083171000661473272e+03 -7.968160354556833909e+02
4.424932815306526490e-01 1.047520529723501568e+03 -8.290725943384361472e+02
4.475081036444470417e-01 1.012525127569122560e+03 -8.610981870777744689e+02
4.525091505980503581e-01 9.781483758264280368e+02 -8.928941057568938504e+02
4.575059382916647488e-01 9.443628725641510755e+02 -9.244608553631467203e+02
4.625073094670774654e-01 9.111496156603709551e+02 -9.558004761004142438e+02
4.675075876475686121e-01 8.784807695793056155e+02 -9.869377094960577779e+02
4.725094673409236390e-01 8.463204149526063702e+02 -1.017916757872097037e+03
4.775010455491682237e-01 8.146489052149411236e+02 -1.048748119137708954e+03
4.825040702186400021e-01 7.834625014323128198e+02 -1.079409432553755096e+03
4.875082594715782203e-01 7.527461405099966214e+02 -1.109905477709649404e+03
4.925128965755101174e-01 7.224719765804280769e+02 -1.140271202078174156e+03
4.975154922627240128e-01 6.926110314821723932e+02 -1.170544225317883956e+03
