# kvec, P0, P2
4.224999999999999867e-01 3.419898080426911520e+02 4.768699187680095974e+01
4.274999999999999911e-01 3.319275060291454338e+02 3.836825454807136282e+01
4.324999999999999956e-01 3.221522016438124183e+02 2.924710504961849722e+01
4.375000000000000000e-01 3.126503219387306558e+02 2.031524628454332060e+01
4.425000000000000044e-01 3.034086077669802535e+02 1.156565870211969127e+01
4.475000000000000089e-01 2.944128464452566618e+02 3.000154812557511264e+00
4.525000000000000133e-01 2.856481265949106501e+02 -5.371822267205956791e+00
4.575000000000000178e-01 2.771026529751507042e+02 -1.355258605041568387e+01
4.625000000000000222e-01 2.687679318236671975e+02 -2.155683794957475641e+01
4.675000000000000266e-01 2.606370051145729576e+02 -2.939938141856798381e+01
4.724999999999999756e-01 2.527040362245338088e+02 -3.709306588963403328e+01
4.774999999999999800e-01 2.449618810388448651e+02 -4.463995306153869080e+01
4.824999999999999845e-01 2.374020966387499811e+02 -5.203275018089210846e+01
4.874999999999999889e-01 2.300173847643413012e+02 -5.927778925422491341e+01
4.924999999999999933e-01 2.228017117649633576e+02 -6.639591199350195438e+01
4.974999999999999978e-01 2.157491559874482050e+02 -7.340924534450046224e+01
