# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
2.093999999999999941e-03 2.781443579200000022e+04 6.000000000000000000e+00
2.961999999999999789e-03 4.323261199099999794e+04 1.200000000000000000e+01
3.628000000000000148e-03 4.994789357300000120e+04 8.000000000000000000e+00
4.189000000000000015e-03 4.117369691900000180e+04 6.000000000000000000e+00
4.682999999999999663e-03 4.577546160799999780e+04 2.400000000000000000e+01
5.130000000000000011e-03 5.206953209700000298e+04 2.400000000000000000e+01
5.923999999999999579e-03 4.949293980100000044e+04 1.200000000000000000e+01
6.283000000000000390e-03 5.590350481299999956e+04 3.000000000000000000e+01
6.785000000000000232e-03 3.901279404100000102e+04 4.800000000000000000e+01
7.477000000000000139e-03 5.964243864000000031e+04 3.200000000000000000e+01
7.837000000000000216e-03 7.512275755500000378e+04 4.800000000000000000e+01
8.718000000000000055e-03 6.027651578999999765e+04 9.000000000000000000e+01
9.423000000000000820e-03 7.243073780099999567e+04 9.600000000000000000e+01
1.020700000000000079e-02 9.279518947199999820e+04 7.800000000000000000e+01
1.107099999999999924e-02 8.411077241400000639e+04 2.240000000000000000e+02
1.218299999999999939e-02 8.796825898400000005e+04 1.560000000000000000e+02
1.307999999999999961e-02 9.073028916899999604e+04 2.460000000000000000e+02
1.394699999999999933e-02 8.039268619999999646e+04 2.240000000000000000e+02
1.519599999999999944e-02 8.284492481500000576e+04 4.740000000000000000e+02
1.660199999999999870e-02 8.113540753199999745e+04 4.860000000000000000e+02
1.791500000000000037e-02 8.116700039499999548e+04 6.200000000000000000e+02
1.941800000000000123e-02 7.384830009999999311e+04 7.980000000000000000e+02
2.102199999999999902e-02 7.167728338700000313e+04 9.860000000000000000e+02
2.275500000000000092e-02 6.920077504900000349e+04 1.302000000000000000e+03
2.468199999999999908e-02 6.446491242600000260e+04 1.658000000000000000e+03
2.672799999999999829e-02 5.831034233500000119e+04 2.082000000000000000e+03
2.891700000000000173e-02 5.291323379800000112e+04 2.522000000000000000e+03
3.127300000000000219e-02 4.952647419899999659e+04 3.366000000000000000e+03
3.390100000000000058e-02 4.801562761000000319e+04 4.274000000000000000e+03
3.673599999999999782e-02 4.741490675100000226e+04 5.408000000000000000e+03
3.979800000000000004e-02 4.329070863500000269e+04 6.890000000000000000e+03
4.307400000000000118e-02 4.014143452000000252e+04 8.516000000000000000e+03
4.665799999999999809e-02 3.779322895099999732e+04 1.128800000000000000e+04
5.060200000000000115e-02 3.879540884199999709e+04 1.426400000000000000e+04
5.481500000000000261e-02 3.507529885400000057e+04 1.782800000000000000e+04
5.931100000000000261e-02 3.021310899100000097e+04 2.230400000000000000e+04
6.421300000000000618e-02 2.847564927000000171e+04 2.897200000000000000e+04
6.958300000000000596e-02 2.765596013999999923e+04 3.691400000000000000e+04
7.540099999999999580e-02 2.477377351700000145e+04 4.690600000000000000e+04
8.167399999999999660e-02 2.279104975700000068e+04 5.914600000000000000e+04
8.846299999999999997e-02 2.101129031400000167e+04 7.557400000000000000e+04
9.581699999999999939e-02 1.749364361799999824e+04 9.553600000000000000e+04
1.037909999999999944e-01 1.578874637900000016e+04 1.222600000000000000e+05
1.124300000000000022e-01 1.406155085499999950e+04 1.545480000000000000e+05
1.217599999999999932e-01 1.300593518799999947e+04 1.960900000000000000e+05
1.318930000000000102e-01 1.190959043700000075e+04 2.508060000000000000e+05
1.428909999999999902e-01 1.047530656000000090e+04 3.183180000000000000e+05
1.547749999999999959e-01 9.332157735999999204e+03 4.033880000000000000e+05
1.676249999999999962e-01 8.170192533999999796e+03 5.119700000000000000e+05
1.815650000000000042e-01 7.337042564000000311e+03 6.530700000000000000e+05
1.966759999999999897e-01 6.598497261000000435e+03 8.285740000000000000e+05
2.130430000000000101e-01 5.733450243000000228e+03 1.054456000000000000e+06
2.307649999999999979e-01 5.070931872000000112e+03 1.337878000000000000e+06
2.499589999999999868e-01 4.503100964999999633e+03 1.702186000000000000e+06
2.707510000000000194e-01 3.891917849999999817e+03 2.161566000000000000e+06
2.932690000000000019e-01 3.477918971000000056e+03 2.748042000000000000e+06
3.176680000000000059e-01 2.934062146000000212e+03 3.493628000000000000e+06
3.440909999999999802e-01 2.587951578000000154e+03 4.436746000000000000e+06
3.727110000000000145e-01 2.237652627999999822e+03 5.641876000000000000e+06
4.037149999999999905e-01 1.931530013000000054e+03 7.167780000000000000e+06
4.372909999999999853e-01 1.663754505000000108e+03 9.108248000000000000e+06
4.736659999999999759e-01 1.438905854999999974e+03 1.157984000000000000e+07
2.093999999999999941e-03 -1.550980841399999917e+04 6.000000000000000000e+00
2.961999999999999789e-03 -1.247300909000000047e+03 1.200000000000000000e+01
3.628000000000000148e-03 -7.661766185000000405e+03 8.000000000000000000e+00
4.189000000000000015e-03 -1.941062327000000005e+04 6.000000000000000000e+00
4.682999999999999663e-03 -4.998902742000000217e+03 2.400000000000000000e+01
5.130000000000000011e-03 -2.369496424399999887e+04 2.400000000000000000e+01
5.923999999999999579e-03 -9.973884656000000177e+03 1.200000000000000000e+01
6.283000000000000390e-03 -5.406617494199999783e+04 3.000000000000000000e+01
6.785000000000000232e-03 1.547876193400000011e+04 4.800000000000000000e+01
7.477000000000000139e-03 -3.859089793300000019e+04 3.200000000000000000e+01
7.837000000000000216e-03 -4.545606489699999656e+04 4.800000000000000000e+01
8.718000000000000055e-03 -2.195131067600000097e+04 9.000000000000000000e+01
9.423000000000000820e-03 -8.434160445999999865e+03 9.600000000000000000e+01
1.020700000000000079e-02 -6.263109272700000292e+04 7.800000000000000000e+01
1.107099999999999924e-02 -1.521819323900000018e+04 2.240000000000000000e+02
1.218299999999999939e-02 8.729515767999999298e+03 1.560000000000000000e+02
1.307999999999999961e-02 1.594146174600000086e+04 2.460000000000000000e+02
1.394699999999999933e-02 3.542390503699999681e+04 2.240000000000000000e+02
1.519599999999999944e-02 4.231208304599999974e+04 4.740000000000000000e+02
1.660199999999999870e-02 3.440572052899999835e+04 4.860000000000000000e+02
1.791500000000000037e-02 3.166491717100000096e+04 6.200000000000000000e+02
1.941800000000000123e-02 7.149053399000000354e+03 7.980000000000000000e+02
2.102199999999999902e-02 -3.921956212999999934e+03 9.860000000000000000e+02
2.275500000000000092e-02 1.040849666999999954e+03 1.302000000000000000e+03
2.468199999999999908e-02 5.802892990999999711e+03 1.658000000000000000e+03
2.672799999999999829e-02 7.874152414000000135e+03 2.082000000000000000e+03
2.891700000000000173e-02 9.934220223000000260e+03 2.522000000000000000e+03
3.127300000000000219e-02 1.193403331299999991e+04 3.366000000000000000e+03
3.390100000000000058e-02 1.734504481500000111e+04 4.274000000000000000e+03
3.673599999999999782e-02 1.739760240899999917e+04 5.408000000000000000e+03
3.979800000000000004e-02 1.374564547300000049e+04 6.890000000000000000e+03
4.307400000000000118e-02 1.422339346800000021e+04 8.516000000000000000e+03
4.665799999999999809e-02 1.664327295900000172e+04 1.128800000000000000e+04
5.060200000000000115e-02 1.388754819599999973e+04 1.426400000000000000e+04
5.481500000000000261e-02 1.814299891600000046e+04 1.782800000000000000e+04
5.931100000000000261e-02 1.583520210799999950e+04 2.230400000000000000e+04
6.421300000000000618e-02 9.914275900000000547e+03 2.897200000000000000e+04
6.958300000000000596e-02 9.099381407000000763e+03 3.691400000000000000e+04
7.540099999999999580e-02 9.754489534000000276e+03 4.690600000000000000e+04
8.167399999999999660e-02 9.543416240000000471e+03 5.914600000000000000e+04
8.846299999999999997e-02 7.495615193999999974e+03 7.557400000000000000e+04
9.581699999999999939e-02 6.401459775999999692e+03 9.553600000000000000e+04
1.037909999999999944e-01 5.182931781000000228e+03 1.222600000000000000e+05
1.124300000000000022e-01 4.160373673000000053e+03 1.545480000000000000e+05
1.217599999999999932e-01 3.676305895999999848e+03 1.960900000000000000e+05
1.318930000000000102e-01 3.802650015000000167e+03 2.508060000000000000e+05
1.428909999999999902e-01 3.324402930000000197e+03 3.183180000000000000e+05
1.547749999999999959e-01 2.704844666999999845e+03 4.033880000000000000e+05
1.676249999999999962e-01 2.110527066999999988e+03 5.119700000000000000e+05
1.815650000000000042e-01 1.486710661999999957e+03 6.530700000000000000e+05
1.966759999999999897e-01 1.333950790000000097e+03 8.285740000000000000e+05
2.130430000000000101e-01 1.072486538999999993e+03 1.054456000000000000e+06
2.307649999999999979e-01 9.235655010000000402e+02 1.337878000000000000e+06
2.499589999999999868e-01 4.505543240000000083e+02 1.702186000000000000e+06
2.707510000000000194e-01 2.080811960000000056e+02 2.161566000000000000e+06
2.932690000000000019e-01 1.388678299999999979e+02 2.748042000000000000e+06
3.176680000000000059e-01 -4.160451400000000177e+01 3.493628000000000000e+06
3.440909999999999802e-01 -2.831872470000000135e+02 4.436746000000000000e+06
3.727110000000000145e-01 -3.516627490000000194e+02 5.641876000000000000e+06
