# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
3.934399999999999703e-02 1.912622415199999887e+04 1.714600000000000000e+04
4.294100000000000000e-02 1.359694153399999959e+04 2.246000000000000000e+04
4.681300000000000044e-02 1.420332896299999993e+04 2.821400000000000000e+04
5.104600000000000110e-02 1.298722738399999980e+04 3.770800000000000000e+04
5.570599999999999857e-02 1.117903141300000061e+04 4.855000000000000000e+04
6.074600000000000138e-02 1.252341422899999998e+04 6.253600000000000000e+04
6.625000000000000333e-02 1.267757459999999992e+04 8.174200000000000000e+04
7.227799999999999503e-02 1.014619692199999918e+04 1.062640000000000000e+05
7.883800000000000530e-02 8.768002576000000772e+03 1.371780000000000000e+05
8.599999999999999312e-02 6.131855107000000316e+03 1.791340000000000000e+05
9.381000000000000449e-02 4.329433590999999979e+03 2.311740000000000000e+05
1.023109999999999992e-01 5.380053697000000284e+03 3.002780000000000000e+05
1.116059999999999969e-01 4.332112525999999889e+03 3.909780000000000000e+05
1.217430000000000040e-01 3.558746913999999833e+03 5.060720000000000000e+05
1.327959999999999974e-01 3.693631727999999839e+03 6.578360000000000000e+05
1.448589999999999878e-01 2.872766924999999901e+03 8.534680000000000000e+05
1.580110000000000126e-01 3.039700158999999985e+03 1.107340000000000000e+06
1.723550000000000082e-01 1.967216071999999940e+03 1.436940000000000000e+06
1.880010000000000014e-01 1.417509774999999991e+03 1.864956000000000000e+06
2.050720000000000043e-01 8.296104940000000170e+02 2.421576000000000000e+06
2.236910000000000009e-01 9.256795110000000477e+02 3.141224000000000000e+06
2.439969999999999917e-01 7.720065479999999525e+02 4.077262000000000000e+06
2.661479999999999957e-01 4.337628540000000044e+02 5.291842000000000000e+06
2.903129999999999877e-01 3.451892940000000181e+02 6.868784000000000000e+06
3.166660000000000030e-01 2.358635339999999871e+02 8.910236000000000000e+06
3.454110000000000236e-01 8.539594499999999755e+01 1.156777000000000000e+07
3.767719999999999958e-01 -1.061799429999999944e+02 1.501447200000000000e+07
1.570999999999999914e-03 9.701179254000000583e+03 6.000000000000000000e+00
2.220999999999999884e-03 5.967206151999999747e+03 1.200000000000000000e+01
2.720999999999999894e-03 -5.285038180899999861e+04 8.000000000000000000e+00
3.141999999999999828e-03 -3.768819989000000078e+03 6.000000000000000000e+00
3.511999999999999931e-03 -7.583923775000000205e+03 2.400000000000000000e+01
3.847999999999999858e-03 -5.416894817499999772e+04 2.400000000000000000e+01
4.442999999999999901e-03 -6.583768005999999878e+04 1.200000000000000000e+01
4.826000000000000428e-03 -4.200239072000000306e+04 5.400000000000000000e+01
5.268000000000000113e-03 -2.827731611899999916e+04 3.200000000000000000e+01
5.806000000000000397e-03 -5.192063283000000229e+04 7.200000000000000000e+01
6.454999999999999800e-03 -2.386329538999999841e+03 5.400000000000000000e+01
6.956999999999999643e-03 -1.766856980000000021e+02 1.320000000000000000e+02
7.655999999999999611e-03 2.134983845500000098e+04 7.800000000000000000e+01
8.220999999999999142e-03 1.638389902599999914e+04 1.760000000000000000e+02
9.011999999999999178e-03 -3.629714078999999856e+03 2.040000000000000000e+02
9.870000000000000301e-03 -4.478449666099999740e+04 2.940000000000000000e+02
1.076799999999999979e-02 -9.448338794000000053e+04 3.140000000000000000e+02
1.164600000000000010e-02 -3.386962866799999756e+04 4.320000000000000000e+02
1.271599999999999987e-02 -5.148669618700000137e+04 5.820000000000000000e+02
1.386199999999999932e-02 -2.118627726700000130e+04 7.220000000000000000e+02
1.507000000000000006e-02 -1.427854470600000059e+04 9.300000000000000000e+02
1.642899999999999916e-02 -3.339177324000000226e+03 1.280000000000000000e+03
1.796899999999999886e-02 7.047490536999999676e+03 1.674000000000000000e+03
1.960200000000000137e-02 1.497638290199999938e+04 2.048000000000000000e+03
2.137700000000000017e-02 6.215524446999999782e+03 2.810000000000000000e+03
2.332499999999999851e-02 -1.677336786000000075e+03 3.534000000000000000e+03
2.545400000000000093e-02 -1.687687953199999902e+04 4.682000000000000000e+03
2.776700000000000002e-02 -1.696393872499999998e+04 5.948000000000000000e+03
3.029099999999999848e-02 -2.326129959999999846e+04 7.904000000000000000e+03
3.303899999999999892e-02 -2.329747819099999833e+04 1.001000000000000000e+04
3.604399999999999965e-02 -1.127112407499999972e+04 1.330400000000000000e+04
