# kvec, P0, P2
3.175159698410000009e-01 1.794517885547613105e+03 5.433406689697935690e+02
3.225221392748000016e-01 1.750435013546465598e+03 5.098246500359801985e+02
3.275181746838999874e-01 1.707080936132975921e+03 4.773769823500360872e+02
3.325123851940999797e-01 1.664389644993479351e+03 4.459860151478474108e+02
3.374959374422000224e-01 1.622415000176749800e+03 4.155179836717480839e+02
3.424919227509000130e-01 1.581312210671851972e+03 3.857327413053312739e+02
3.475179790419000159e-01 1.541223443927290873e+03 3.563872357022273718e+02
3.525060021472999905e-01 1.502264626981629362e+03 3.272492918360608201e+02
3.575140192512999970e-01 1.464502891713439794e+03 2.981360998999049343e+02
3.625250223841999797e-01 1.427951318878604297e+03 2.689240353453329817e+02
3.675230442945000009e-01 1.392535376301138058e+03 2.396130581792377825e+02
3.725177058599000168e-01 1.358099023682986399e+03 2.103193839129576190e+02
3.775163027578999908e-01 1.324496056978647403e+03 1.811429105098441141e+02
3.825226885417000178e-01 1.291599668276925513e+03 1.521561393409509719e+02
3.875130058992000137e-01 1.259310337019285271e+03 1.234211170043771517e+02
3.924957858313000147e-01 1.227556957098093108e+03 9.498742054178501348e+01
3.975064697965000060e-01 1.196301691436352939e+03 6.685450467365944860e+01
4.025281700180000088e-01 1.165538122410594951e+03 3.897207079365716709e+01
4.075225942469000162e-01 1.135268977406629801e+03 1.127888126090954302e+01
4.125228208653000106e-01 1.105502732059624122e+03 -1.629181863222868287e+01
4.175153278773000021e-01 1.076241308467926501e+03 -4.379573130270216552e+01
4.225112384179999792e-01 1.047479154696787191e+03 -7.127635077168804401e+01
4.275193459962999820e-01 1.019205736682072938e+03 -9.876908629606771228e+01
4.325204831141000184e-01 9.914047528218094385e+02 -1.262996733089588588e+02
4.375072379843999992e-01 9.640434803530263252e+02 -1.538636000519993559e+02
4.424932941768000005e-01 9.370743130652808759e+02 -1.814285635133221604e+02
4.475081165397000182e-01 9.104603424622073362e+02 -2.089786881188446159e+02
4.525091635647000010e-01 8.841762825372067027e+02 -2.365159937561569450e+02
4.575059511121000178e-01 8.581930394992414222e+02 -2.640323184714363833e+02
4.625073226508000235e-01 8.324789886990051855e+02 -2.915106661651395825e+02
4.675076008978999997e-01 8.070280950192648106e+02 -3.189663084217306732e+02
4.725094808577999794e-01 7.818574312106821935e+02 -3.464448616564706072e+02
4.775010590491999829e-01 7.569549848336307605e+02 -3.739632053695027025e+02
4.825040838442000157e-01 7.322799377296371404e+02 -4.015086346708726524e+02
4.875082731090999988e-01 7.078160850553566661e+02 -4.290876009562648505e+02
4.925129104175999806e-01 6.835744926038539688e+02 -4.567284171637704731e+02
4.975155064303999897e-01 6.595686416723517596e+02 -4.844613326658748065e+02
